word,pos,definition
abandonment,,
abc,,
able,adjective,The definition of able is to have the skills or strength to do a task.
ably,,
abnormality,,
abort,verb,(cause sb to) end a pregnancy early in order to prevent a baby from developing
,verb,end sth before it is completed
about,adjective,About means moving around.
,adverb,About means almost.
,preposition,About is defined as something close or approximate.
,preposition,The definition of about is being in reference to or concerning something.
aboveboard,,
abridged,,
absentee,noun,person who is not present
absenteeism,,
absolutism,,
academe,,
academician,,
accepted,adjective,The definition of accepted is approved or considered normal or usual.
,verb,Accepted means an object or idea that was approved of in the past.
accidental,,
acclaim,verb,To acclaim would be to strongly praise or applaud.
acclivity,,
accompanist,noun,person who plays music to support a singer or another instrument
according to,preposition,as stated by sb; as shown in sth
,preposition,following or agreeing with sth
,preposition,in proportion to
accordion,noun,musical instrument with bellows and a keyboard
accoutre,,
accumulative,,
accustomed,adjective,The definition of accustomed is that something has become normal or typical for you or something which is customary or usual.
achievable,,
acidic,,
acidulous,,
acknowledgement,,
acquiescent,,
acrobatic,,
across,adverb,The definition of across is on the other side or from the other side.
,preposition,Across is defined as from one side to the other.
act,noun,An act is defined as an action or something which is done.
,verb,The definition of act means to do something.
actress,,
actuality,,
actuarial,,
acupuncture,noun,treatment of illness by sticking small needles into the body
acutely,,
adapter,,
adaptive,,
addicted,,
addictive,,
additionally,,
additive,noun,"substance added to sth, esp food"
addle,adjective,Addle is defined as something that becomes spoiled.
,adjective,Addle means someone who is confused or not thinking right
,verb,The definition of addle refers to causing someone to become confused or to becoming unable to think clearly.
adequacy,,
adj,,
adjoin,verb,be next to
adjuration,,
adjutant,noun,"The definition of an adjutant in the U.S. military is a staff officer, while in the British military he is an executive officer."
administrate,,
admiral,noun,officer of very high rank in the navy
admirer,,
admittance,,
admittedly,,
adoption,,
adornment,,
adulthood,,
adv,,
advect,,
advection,,
adventurer,,
adventurism,,
advertiser,,
adviser,,
advisor,,
aeration,,
aerobatics,noun,skilful and exciting movements performed by aircraft
aerobics,noun,physical exercise done to strengthen the heart and lungs
aerodynamic,,
aeronautics,noun,scientific study or practice of flying aircraft
aeroplane,noun,flying vehicle with wings and one or more engines
aerosol,noun,small container from which a liquid is forced out as a fine spray
aerospace,noun,industry of building aircraft and equipment to be sent into space
aesthetic,adjective,The definition of aesthetic is being interested in how something looks and feels.
,adjective,"Aesthetic means the pleasant, positive or artful appearance of a person or a thing."
,noun,"Aesthetic is defined as a concept of what is visually acceptable, in trend or expected at the time."
aesthetician,,
affixation,noun,The definition of an affixation is the act of adding something to something else.
afoot,adjective,being planned; happening
afoul,,
afresh,adverb,again
Africa,,
African,,
aftereffect,,
afterward,,
afterwards,adverb,at a later time
again,adverb,Again is defined as returning to a place.
,adverb,Again means something that is repeated.
