word,pos,definition
"A, a",noun,first letter of the English alphabet
,abbreviation,amp(s)
,noun,exam in a particular subject at about the age of 18 and necessary for entrance to a university
a,indefa,an/
,indefa,one
,indefa,"used of number, quantity, groups, etc"
,indefa,each
aback,adverb,be shocked or surprised by sb/sth
abacus,noun,"frame with small balls which slide on rods, used for counting"
abandon,verb,leave sb/sth with no intention of returning
,verb,stop doing or having sth
,verb,feel an emotion so strongly that you can feel nothing else
abashed,adjective,embarrassed; ashamed
abate,verb,(esp of wind or pain) become less strong
abattoir,noun,place where animals are killed for food
abbess,noun,woman who is the head of a convent
abbey,noun,building in which monks or nuns live
abbot,noun,man who is the head of a monastery or an abbey
abbreviate,verb,"make a word, phrase, etc shorter"
abdicate,verb,"give up a high position, responsibility, etc"
abdomen,noun,part of the body containing the stomach
abduct,verb,"take sb away illegally, using force"
aberration,noun,action or way of behaving that is not normal
abhor,verb,hate sth
abide,verb,tolerate sb/sth
,verb,"keep or obey a law, promise, etc"
ability,noun,skill or power
abject,adjective,terrible and without hope
,adjective,not having pride or respect for yourself
ablaze,adjective,burning; on fire
,adjective,shining brightly
able,adjective,"having the power, means or opportunity to do sth"
,adjective,clever; skilled
,adjective,physically strong
abnormal,adjective,"unusual in a way that is worrying, harmful, etc"
aboard,preposition,"on or onto a ship, an aircraft, a train or a bus"
abode,noun,house or home
abolish,verb,put an end to sth
abominable,adjective,extremely unpleasant and causing disgust
Aboriginal,noun,member of the race of people who were the original inhabitants of Australia
abort,verb,(cause sb to) end a pregnancy early in order to prevent a baby from developing
,verb,end sth before it is completed
abound,verb,have or exist in large numbers or quantities
about,preposition,on the subject of
,preposition,in many directions
,preposition,concerned or occupied with
,preposition,be going to do sth very soon
,preposition,used when making a suggestion
,preposition,used when asking for information
,adverb,a little more or less than
,adverb,in many different directions
,adverb,here and there
,adverb,able to be found in a place
,noun,complete change of position or opinion
above,adverb,at or to a higher place or position than sb/sth
,adverb,"more than sth; greater in number, level or age than sb/sth"
,adverb,of greater importance or of higher quality than sb/sth
,adverb,earlier in sth written or printed
,adverb,too good or too honest to do sth
,adverb,most important of all
,adjective,"mentioned or printed previously in a letter, book, etc"
,noun,
abrasion,noun,injury where the skin has been scraped
,noun,scraping or rubbing
abrasive,adjective,that scrapes or rubs sth away; rough
,adjective,rude and harsh
abreast,adverb,side by side
,adverb,remain well informed about sth
abridge,verb,"make a book, etc shorter"
abroad,adverb,in or to another country
abrupt,adjective,sudden and unexpected
,adjective,(of behaviour) rude and unfriendly
abscess,noun,"painful swelling in the body, containing thick yellowish liquid"
abscond,verb,escape from a place that you are not allowed to leave without permission
,verb,"leave secretly, esp with money that does not belong to you"
abseil,verb,"go down a steep hill or rock while attached to a rope, pushing against the slope with your feet"
absence,noun,(occasion or period of) being away
,noun,fact of sb/sth not existing; lack
absent,adjective,not present in a place
,adjective,with your mind on other things; forgetful
absentee,noun,person who is not present
absolute,adjective,complete; total
,adjective,not limited or restricted
,adjective,not measured in relation to other things
,noun,(in an election) more than half of the total number of votes or winning candidates
,noun,the lowest temperature that is thought to be possible
absolve,verb,"declare sb to be free from blame, a duty, etc"
absorb,verb,"take in a liquid, heat, light, etc"
,verb,hold sb's interest and attention
abstain,verb,not vote; neither for nor against a proposal
,verb,"keep yourself from drinking alcohol, eating meat, etc"
abstemious,adjective,not eating or drinking a lot; moderate
abstention,noun,instance of abstaining
abstinence,noun,practice of abstaining
abstract,adjective,"existing as an idea, rather than having a physical or practical existence"
,adjective,(of art) not showing objects in a realistic way
,adjective,"(of a noun) that refers to an abstract quality or state, eg "
,noun,"short account of a book, etc; summary"
absurd,adjective,unreasonable; ridiculous
abundance,noun,quantity that is more than enough
abuse,verb,make bad or wrong use of sth
,verb,"treat sb in a cruel or violent way, esp sexually"
,verb,say rude things to or about sb
,noun,wrong or bad use of sth
,noun,"unfair, cruel or violent treatment of sb"
,noun,rude or cruel words
