word,pos,definition
able,adjective,The definition of able is to have the skills or strength to do a task.
about,adjective,About means moving around.
 ,adverb,About means almost.
 ,preposition,About is defined as something close or approximate.
 ,preposition,The definition of about is being in reference to or concerning something.
accepted,adjective,The definition of accepted is approved or considered normal or usual.
 ,verb,Accepted means an object or idea that was approved of in the past.
acclaim,verb,To acclaim would be to strongly praise or applaud.
accustomed,adjective,The definition of accustomed is that something has become normal or typical for you or something which is customary or usual.
across,adverb,The definition of across is on the other side or from the other side.
 ,preposition,Across is defined as from one side to the other.
act,noun,An act is defined as an action or something which is done.
 ,verb,The definition of act means to do something.
addle,adjective,Addle is defined as something that becomes spoiled.
addle,adjective,Addle means someone who is confused or not thinking right
 ,verb,The definition of addle refers to causing someone to become confused or to becoming unable to think clearly.
adjutant,noun,"The definition of an adjutant in the U.S. military is a staff officer, while in the British military he is an executive officer."
aesthetic,adjective,The definition of aesthetic is being interested in how something looks and feels.
aesthetic,adjective,"Aesthetic means the pleasant, positive or artful appearance of a person or a thing."
 ,noun,"Aesthetic is defined as a concept of what is visually acceptable, in trend or expected at the time."
affixation,noun,The definition of an affixation is the act of adding something to something else.
again,adverb,Again is defined as returning to a place.
again,adverb,Again means something that is repeated.
age,noun,Age is defined as a span of years during which some event occurred.
age,noun,The definition of age is the number of years something has been alive or in existence.
 ,verb,Age means to experience the passage of time or show signs of growing older.
agglomeration,noun,"The definition of an agglomeration is a mass of varied parts, or the act of amassing various parts."
aging,verb,"The definition of aging refers to the process of getting older, or an artificial process to make someone or something look older."
ago,adjective,The definition of ago is before now or in the past.
 ,adverb,Ago is defined as in the past or before.
